source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1360139833961363712,259.9474300928482,0.020252824011527473,42.798156957875,0.020924774128757366,13.460404238713679,0.023238379246551026,-0.5513063931214806,75.44161771317326,9.334949,0.84848213,-22.260478552932348,0.37483794999721703,"NOT_AVAILABLE",5682.967,0.043
1360369150858339712,258.67096143491955,0.011040210871369948,42.6747046827537,0.011610548015878661,5.717830785016747,0.012230170757116245,-17.79382230681288,-1.6599762994334608,13.361766,1.51268,,,"NOT_AVAILABLE",4393.5947,0.222
1360424985430821632,259.31426068286225,0.026317989989787113,43.41267787067843,0.03577734117983909,5.738805132685903,0.03654867325815794,17.53152763114695,-24.72907880181953,10.606314,0.7171526,-6.613230616219815,1.1224481458280722,"NOT_AVAILABLE",6061.75,0.026
1360470615163605248,258.80944462862993,0.26910579523352324,43.613868523751016,0.27283141685328993,5.851234871124095,0.26688314686552567,-2.627807078025856,-45.73739579121202,14.953547,2.0754194,,,"NOT_AVAILABLE",4472.0,
1360516863370026112,260.10737063188316,0.014997745210285105,43.71383479173556,0.015511988974033464,7.776381799383966,0.016108839792719588,15.61381999758559,-3.9785652096281114,13.948264,1.9909935,,,"NOT_AVAILABLE",3829.64,0.496
1360424985431402624,259.31169417036904,0.16174158125377552,43.410171499351065,0.15170153683735443,5.469328678497726,0.16690169729778648,17.655047725464904,-24.048907207907735,18.21985,2.7552261,,,"NOT_AVAILABLE",,
1360523460439876864,260.264245445723,0.04378461969375145,43.81424730696338,0.05538199584843435,15.30764148260572,0.051171380037349015,-90.15951472848101,-60.27325046950848,15.836926,3.0281353,,,"NOT_AVAILABLE",4162.1177,0.294
1360454431729839360,258.9568182856625,0.016316361404538713,43.442833242638144,0.01843116693796545,6.63419242708442,0.01876793682556219,-8.98231371067771,36.18695839330793,14.188655,1.9426136,,,"NOT_AVAILABLE",3804.0,0.192
1360441649907163776,258.7056988076041,0.03580340875344833,43.19802244311774,0.036398271721439376,8.78296624611375,0.03845912808218984,25.55290616873527,-127.64663017524424,15.608061,2.5514421,,,"NOT_AVAILABLE",3853.1533,0.1785
1360477280955964160,259.39476556243943,0.05415106783284073,43.61913133464309,0.06811711392074946,6.847952553437623,0.06513099018840081,-66.62154185971158,23.496709706400004,16.431723,2.9378672,,,"NOT_AVAILABLE",3740.8098,0.8185
