source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421571975424922112,229.6469024460048,1.0792218672879597,2.0442553520914193,0.6034049929096268,-0.7758628985635613,0.6553542061133408,19.234203,,,,"NOT_AVAILABLE",,
4421573139365354752,229.59888067945647,0.25849734051152096,2.102064678924888,0.2427088435746629,-0.4151202193241876,0.3074171364727107,17.962963,0.65436363,,,"NOT_AVAILABLE",,
4421573654761448192,229.63420716498555,0.38713415718948213,2.126292292926374,0.3067420542467933,-1.0508754128890054,0.4147975893835889,17.782381,0.7520199,,,"NOT_AVAILABLE",,
4421573349817617408,229.66807745051415,0.2760735709204938,2.101118430014043,0.49896381195653516,,,18.043839,,,,"NOT_AVAILABLE",,
4421573178017326464,229.6120518425944,49.69840117532224,2.103836474669047,26.543234201561887,,,18.674726,0.6936798,,,"NOT_AVAILABLE",,
4421573040578237696,229.58957394997012,0.6351622739820549,2.081693053509053,0.5946489514872869,0.6423992255604172,0.799378061680229,18.89318,0.7928772,,,"NOT_AVAILABLE",,
4421572765702393728,229.6096735890981,13.40659857160173,2.063455215584291,22.86756415291221,,,18.446308,,,,"NOT_AVAILABLE",,
4421572868783124480,229.60905634339463,0.058853842754048154,2.0782146920054876,0.07062756682435557,0.18514080863985716,0.08383791805173875,16.162703,0.98807144,,,"NOT_AVAILABLE",5261.27,
4421572834419569664,229.59832281501966,0.03497525687983195,2.073410148518774,0.03215726317655207,0.1390789142902805,0.040767039996379054,14.724491,1.102869,,,"NOT_AVAILABLE",4940.2563,
4421573315455735680,229.65961103196986,17.574139902171083,2.103290535426696,4.059604193223488,,,17.87375,,,,"NOT_AVAILABLE",,
4421572078504439936,229.65766930283547,1.3453725048909817,2.067259305076096,0.364111767051694,,,18.43299,,,,"NOT_AVAILABLE",,
4421572078504288256,229.65450588061205,1.1123951556882712,2.0590742616160957,2.562385227946757,,,18.61751,,,,"NOT_AVAILABLE",,
4421573006218266112,229.63362428740623,1.329897726330274,2.095603366121088,2.1300420092220613,,,18.178436,,,,"NOT_AVAILABLE",,
4421572765704455808,229.62387729578398,28.329494421746464,2.060701802982655,48.48887328780603,,,18.298336,,,,"NOT_AVAILABLE",,
